,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_S1(degC),z4_S1(RH%),z4_S1(lux),temperature (°C),humidity (%)
2019-03-07 00:00:00,0.0,0.010666666666666666,0.2931666666666667,1.036,1.1913333333333334,0.8921666666666667,0.9793333333333333,0.0,1.1066666666666667,0.0,0.788,0.0,0.8805,0.0,0.0,0.0,0.0,0.0,0.03233333333333333,0.18683333333333332,0.22616666666666668,0.0,0.0,0.029500000000000002,25.082881355932205,63.941355932203386,0.0,25.6,69.65118644067796,0.0,27.82830508474576,78.03576271186441,0.0,24.72305084745763,76.97203389830509,0.0,27.0,84.0
2019-03-07 01:00:00,0.0,0.010833333333333334,0.29666666666666663,0.9818333333333333,1.1835,0.889,0.9848333333333333,0.0,1.0510000000000002,0.0,0.7371666666666666,0.0,0.8251666666666667,0.0,0.0,0.0,0.0,0.0,0.03283333333333333,0.1865,0.22933333333333333,0.0,0.0,0.029166666666666667,25.535500000000003,64.95783333333333,0.0,25.6615,69.84416666666667,0.0,27.7535,76.09883333333333,0.0,24.825499999999998,75.83999999999999,0.0,26.7,83.0
2019-03-07 02:00:00,0.0,0.011,0.29983333333333334,1.0761666666666667,1.1853333333333333,0.8886666666666666,0.9871666666666666,0.0,1.1413333333333333,0.0,0.8183333333333334,0.0,0.919,0.0,0.0,0.0,0.0,0.0,0.036833333333333336,0.18,0.2275,0.0,0.0,0.03,25.151166666666665,65.56616666666667,0.0,25.750999999999998,69.98266666666667,0.0,27.790666666666667,77.51483333333334,0.0,24.827166666666663,75.85566666666666,0.0,26.2,85.0
2019-03-07 03:00:00,0.0,0.010666666666666666,0.3,1.0933333333333333,1.198,0.899,0.9968333333333333,0.0,1.1638333333333335,0.0,0.8348333333333333,0.0,0.9359999999999999,0.0,0.0,0.0,0.0,0.0,0.034666666666666665,0.1575,0.23,0.0,0.0,0.03,25.501166666666666,65.11333333333333,0.0,25.844,70.14216666666667,0.0,27.831666666666667,77.63666666666667,0.0,24.81,76.6,0.0,25.8,89.0
2019-03-07 04:00:00,0.0,0.011666666666666665,0.2991666666666667,1.1033333333333333,1.1898333333333333,0.8916666666666666,0.9876666666666666,0.0,1.1720000000000002,0.0,0.8451666666666666,0.0,0.9458333333333333,0.0,0.0,0.0,0.0,0.0,0.035166666666666666,0.15916666666666665,0.23,0.0,0.0,0.03,25.30366666666667,66.53683333333333,0.0,25.919333333333334,70.12899999999999,0.0,27.811333333333334,77.891,0.0,25.196666666666665,75.29933333333334,0.0,25.7,90.0
2019-03-07 05:00:00,0.0,0.010666666666666666,0.29666666666666663,0.5113333333333333,1.1913333333333334,0.9025,0.9988333333333334,0.6993333333333334,0.5858333333333333,0.46449999999999997,0.31766666666666665,0.5165000000000001,0.3561666666666667,0.0,0.0,0.0,0.0,0.0,0.03266666666666666,0.15766666666666668,0.23,0.0,0.0,0.03,25.328,67.31766666666667,0.0,26.073666666666668,70.22749999999999,0.0,27.854,77.57883333333332,0.0,25.458000000000002,75.31866666666666,0.0,25.6,91.0
2019-03-07 06:00:00,0.0,1.208,0.5226666666666666,0.549,0.7484999999999999,0.4855,0.5418333333333334,1.3655,0.6196666666666667,0.948,0.342,1.0595,0.3943333333333333,0.0,0.0,0.0,0.0,0.0021666666666666666,0.03183333333333333,0.8956666666666666,0.29033333333333333,0.0,0.0029999999999999996,0.029500000000000002,25.4835,67.9525,23.65,26.317833333333333,69.83966666666667,0.0,28.008166666666668,77.35333333333332,1.3166666666666667,25.398833333333336,75.22049999999999,0.0,25.3,93.0
2019-03-07 07:00:00,0.0,3.3233333333333333,1.2705,0.7555000000000001,0.6643333333333333,0.4015,0.45616666666666666,1.3693333333333333,0.8140000000000001,0.955,0.5176666666666666,1.0858333333333334,0.601,0.0,0.0,0.0,0.0,0.715,0.10116666666666667,1.0278333333333334,0.3546666666666667,0.0,0.4015,0.03,26.194833333333335,68.047,47.0,26.247666666666664,70.709,23.783333333333335,28.204833333333333,76.51566666666666,2.8,25.340166666666665,76.20916666666668,0.8666666666666667,25.4,93.0
2019-03-07 08:00:00,36.134166666666665,7.245666666666667,3.05,27.243833333333335,0.5366666666666666,0.2845,0.326,1.3635,0.6193333333333333,0.9551666666666666,0.34833333333333333,1.0855000000000001,0.4068333333333333,0.0,0.0,0.0,0.0,2.1425,0.37166666666666665,1.0843333333333334,0.33866666666666667,9.684166666666666,1.581,0.03,22.3835,61.30266666666667,78.16666666666667,21.9125,74.39316666666667,45.916666666666664,26.619500000000002,62.6645,4.45,25.38,76.26,1.0,26.8,83.0
2019-03-07 09:00:00,35.199,7.945666666666667,3.4236666666666666,30.317,0.3413333333333333,0.09466666666666666,0.10983333333333334,1.3671666666666666,0.49683333333333335,0.9443333333333332,0.2275,1.0808333333333333,0.2723333333333333,0.0,0.0,0.5075,0.0,2.5435,0.3945,1.1195,0.34,10.252833333333333,1.684,0.03,19.659166666666668,57.91016666666667,85.28333333333333,20.198500000000003,76.22666666666667,47.45,25.63266666666667,57.541666666666664,7.25,21.394333333333336,74.69866666666667,13.833333333333334,28.6,70.0
